fuzzer,domain-name,dns-a,dns-aaaa,dns-mx,dns-ns,geoip-country,whois-created,whois-updated,ssdeep-score
Dictionary,trumpBelize.com,184.168.221.49,,smtp.secureserver.net,ns49.domaincontrol.com,United States,2008-07-17T00:00:00,2016-06-29T00:00:00,0
Dictionary,Belize-trump.com,,,,,,,,
Dictionary,Belizetrump.com,,,,,,,,
Dictionary,trump-Benin.com,,,,,,,,
Dictionary,trumpBenin.com,,,,,,,,
Dictionary,Benin-trump.com,,,,,,,,
Dictionary,Benintrump.com,,,,,,,,
Dictionary,trump-Bhutan.com,,,,,,,,
Dictionary,trumpBhutan.com,,,,,,,,
Dictionary,Bhutan-trump.com,,,,,,,,
Dictionary,Bhutantrump.com,,,,,,,,
Dictionary,trump-Bolivia.com,,,,,,,,
Dictionary,trumpBolivia.com,,,,,,,,
Dictionary,Bolivia-trump.com,,,,,,,,
Dictionary,Boliviatrump.com,,,,,,,,
Dictionary,trump-Bosnia.com,,,,,,,,
Dictionary,trumpBosnia.com,,,,,,,,
Dictionary,Bosnia-trump.com,,,,,,,,
Dictionary,Bosniatrump.com,,,,,,,,
Dictionary,trump-Botswana.com,,,,,,,,
Dictionary,trumpBotswana.com,,,,,,,,
Dictionary,Botswana-trump.com,,,,,,,,
Dictionary,Botswanatrump.com,,,,,,,,
Dictionary,trump-Brazil.com,,,,,,,,
Dictionary,trumpBrazil.com,184.168.221.41,,smtp.secureserver.net,ns49.domaincontrol.com,United States,2008-07-17T00:00:00,2016-06-29T00:00:00,0
Dictionary,Brazil-trump.com,,,,,,,,
Dictionary,Braziltrump.com,184.168.221.61,,smtp.secureserver.net,ns39.domaincontrol.com,United States,2012-12-17T00:00:00,2016-06-29T00:00:00,0
Dictionary,trump-Brunei.com,,,,,,,,
Dictionary,trumpBrunei.com,,,,,,,,
Dictionary,Brunei-trump.com,,,,,,,,
Dictionary,Bruneitrump.com,,,,,,,,
Dictionary,trump-Bulgaria.com,,,,,,,,
Dictionary,trumpBulgaria.com,184.168.221.57,,smtp.secureserver.net,ns49.domaincontrol.com,United States,2008-07-17T00:00:00,2016-06-29T00:00:00,0
Dictionary,Bulgaria-trump.com,,,,,,,,
Dictionary,Bulgariatrump.com,,,,,,,,
Dictionary,trump-Burkina.com,,,,,,,,
Dictionary,trumpBurkina.com,,,,,,,,
Dictionary,Burkina-trump.com,,,,,,,,
Dictionary,Burkinatrump.com,,,,,,,,
Dictionary,trump-Burundi.com,,,,,,,,
Dictionary,trumpBurundi.com,,,,,,,,
Dictionary,Burundi-trump.com,,,,,,,,
Dictionary,Burunditrump.com,,,,,,,,
Dictionary,trump-Cambodia.com,,,,,,,,
Dictionary,trumpCambodia.com,,,,,,,,
Dictionary,Cambodia-trump.com,,,,,,,,
Dictionary,Cambodiatrump.com,,,,,,,,
Dictionary,trump-Cameroon.com,,,,,,,,
Dictionary,trumpCameroon.com,,,,,,,,
Dictionary,Cameroon-trump.com,,,,,,,,
Dictionary,Cameroontrump.com,,,,,,,,
Dictionary,trump-Canada.com,,,,,,,,
Dictionary,trumpCanada.com,50.63.202.52,,smtp.secureserver.net,ns19.domaincontrol.com,United States,2016-12-05T00:00:00,2016-12-05T00:00:00,
Dictionary,Canada-trump.com,,,,,,,,
Dictionary,Canadatrump.com,184.168.221.44,,smtp.secureserver.net,ns25.domaincontrol.com,United States,2008-08-27T00:00:00,2016-06-29T00:00:00,0
Dictionary,trump-Chad.com,,,,,,,,
Dictionary,trumpChad.com,,,,,,,,
Dictionary,Chad-trump.com,,,,,,,,
Dictionary,Chadtrump.com,,,,,,,,
Dictionary,trump-Chile.com,,,,,,,,
Dictionary,trumpChile.com,184.168.221.38,,smtp.secureserver.net,ns49.domaincontrol.com,United States,2008-07-17T00:00:00,2016-06-29T00:00:00,
Dictionary,Chile-trump.com,,,,,,,,
Dictionary,Chiletrump.com,,,,,,,,
Dictionary,trump-China.com,,,mxn.mxhichina.com,ns17.xincache.com,,2012-03-21T00:00:00,2016-07-18T00:00:00,
Dictionary,trumpChina.com,122.144.135.198,,,dns.bizcn.com,China,2014-04-09T00:00:00,2016-09-30T00:00:00,
Dictionary,China-trump.com,,,,dns9.hichina.com,,2016-11-15T00:00:00,2016-11-16T00:00:00,
Dictionary,Chinatrump.com,120.27.28.134,,,dns9.hichina.com,China,2015-02-09T00:00:00,2017-01-19T00:00:00,0
